shape_id,lat,lon,shape_pt_sequence,shape_dist_traveled
510_0_323,32.69309616,-117.13938904,110011,12.888000
510_0_323,32.69473648,-117.14176178,110012,13.067000
510_0_323,32.69525146,-117.14258575,110013,13.127000
510_0_323,32.69764709,-117.14603424,110014,13.387000
510_0_323,32.69810104,-117.14668274,110015,13.436000
510_0_323,32.69810104,-117.14668274,120001,13.436000
510_0_323,32.69896698,-117.14794159,120002,13.531000
510_0_323,32.70112228,-117.15103149,120003,13.764000
510_0_323,32.70209503,-117.15232849,120004,13.865000
510_0_323,32.70246124,-117.15277863,120005,13.901000
510_0_323,32.70273209,-117.15301514,120006,13.925000
510_0_323,32.70285797,-117.15309143,120007,13.934000
510_0_323,32.70305634,-117.15316772,120008,13.949000
510_0_323,32.70323944,-117.15319824,120009,13.961000
